wl (nm),ir (W m-2 nm-1)
250,0.00E+00
251,0.00E+00
252,0.00E+00
253,0.00E+00
254,0.00E+00
255,0.00E+00
256,0.00E+00
257,0.00E+00
258,0.00E+00
259,0.00E+00
260,0.00E+00
261,0.00E+00
262,0.00E+00
263,0.00E+00
264,0.00E+00
265,0.00E+00
266,0.00E+00
267,0.00E+00
268,0.00E+00
269,0.00E+00
270,0.00E+00
271,0.00E+00
272,0.00E+00
273,0.00E+00
274,0.00E+00
275,0.00E+00
276,0.00E+00
277,0.00E+00
278,0.00E+00
279,0.00E+00
280,4.73E-23
281,5.69E-21
282,1.19E-18
283,1.85E-17
284,7.27E-16
285,8.01E-15
286,1.37E-13
287,2.74E-12
288,6.23E-11
289,5.63E-10
290,6.02E-09
291,3.51E-08
292,2.68E-07
293,8.65E-07
294,4.17E-06
295,1.23E-05
296,4.79E-05
297,9.68E-05
298,2.90E-04
299,4.92E-04
300,0.00102
301,0.00193
302,0.00292
303,0.00709
304,0.00947
305,0.01646
306,0.01858
307,0.02785
308,0.03784
309,0.04053
310,0.05094
311,0.08292
312,0.09338
313,0.10733
314,0.11969
315,0.13625
316,0.12348
317,0.17158
318,0.17594
319,0.2047
320,0.20527
321,0.25024
322,0.22203
323,0.21226
324,0.27537
325,0.27894
326,0.3812
327,0.39806
328,0.35116
329,0.42235
330,0.47139
331,0.40262
332,0.43623
333,0.42944
334,0.41497
335,0.46388
336,0.41519
337,0.3738
338,0.43411
339,0.46355
340,0.5018
341,0.47139
342,0.48934
343,0.51489
344,0.41843
345,0.45898
346,0.47778
347,0.49404
348,0.47511
349,0.46564
350,0.52798
351,0.55172
352,0.51791
353,0.5204
354,0.60498
355,0.6114
356,0.55387
357,0.45673
358,0.43006
359,0.46953
360,0.59817
361,0.52024
362,0.5342
363,0.60191
364,0.60628
365,0.62359
366,0.73532
367,0.72285
368,0.66759
369,0.69315
370,0.75507
371,0.69338
372,0.67444
373,0.61886
374,0.5564
375,0.5893
376,0.6748
377,0.71225
378,0.85595
379,0.74389
380,0.70077
381,0.76383
382,0.58678
383,0.45499
384,0.50968
385,0.67355
386,0.621
387,0.65147
388,0.63582
389,0.68543
390,0.79699
391,0.85138
392,0.79493
393,0.47975
394,0.49567
395,0.80772
396,0.75655
397,0.42619
398,0.85249
399,1.0693
400,1.1141
401,1.1603
402,1.2061
403,1.1613
404,1.1801
405,1.1511
406,1.1227
407,1.1026
408,1.1514
409,1.2299
410,1.0485
411,1.1738
412,1.2478
413,1.1971
414,1.1842
415,1.2258
416,1.2624
417,1.2312
418,1.1777
419,1.2258
420,1.1232
421,1.2757
422,1.2583
423,1.2184
424,1.2117
425,1.2488
426,1.2135
427,1.1724
428,1.1839
429,1.0963
430,0.87462
431,0.79394
432,1.3207
433,1.2288
434,1.1352
435,1.2452
436,1.3659
437,1.3943
438,1.2238
439,1.1775
440,1.3499
441,1.3313
442,1.425
443,1.4453
444,1.4084
445,1.4619
446,1.3108
447,1.4903
448,1.5081
449,1.5045
450,1.5595
451,1.6173
452,1.5482
453,1.4297
454,1.5335
455,1.5224
456,1.5724
457,1.5854
458,1.5514
459,1.5391
460,1.5291
461,1.5827
462,1.5975
463,1.6031
464,1.5544
465,1.535
466,1.5673
467,1.4973
468,1.5619
469,1.5682
470,1.5077
471,1.5331
472,1.6126
473,1.5499
474,1.5671
475,1.6185
476,1.5631
477,1.5724
478,1.623
479,1.5916
480,1.6181
481,1.6177
482,1.6236
483,1.6038
484,1.5734
485,1.5683
486,1.2716
487,1.4241
488,1.5413
489,1.4519
490,1.6224
491,1.5595
492,1.4869
493,1.5903
494,1.5525
495,1.6485
496,1.5676
497,1.5944
498,1.5509
499,1.5507
500,1.5451
501,1.4978
502,1.4966
503,1.5653
504,1.4587
505,1.5635
506,1.6264
507,1.556
508,1.5165
509,1.5893
510,1.5481
511,1.5769
512,1.6186
513,1.5206
514,1.4885
515,1.5314
516,1.5455
517,1.2594
518,1.4403
519,1.3957
520,1.5236
521,1.5346
522,1.569
523,1.4789
524,1.5905
525,1.5781
526,1.5341
527,1.3417
528,1.5357
529,1.6071
530,1.5446
531,1.6292
532,1.5998
533,1.4286
534,1.5302
535,1.5535
536,1.6199
537,1.4989
538,1.5738
539,1.5352
540,1.4825
541,1.4251
542,1.5511
543,1.5256
544,1.5792
545,1.5435
546,1.5291
547,1.549
548,1.5049
549,1.552
550,1.5399
551,1.5382
552,1.5697
553,1.525
554,1.5549
555,1.5634
556,1.5366
557,1.4988
558,1.531
559,1.4483
560,1.474
561,1.5595
562,1.4847
563,1.5408
564,1.5106
565,1.5201
566,1.4374
567,1.532
568,1.518
569,1.4807
570,1.4816
571,1.4331
572,1.5134
573,1.5198
574,1.5119
575,1.4777
576,1.4654
577,1.5023
578,1.456
579,1.477
580,1.502
581,1.5089
582,1.532
583,1.5479
584,1.5448
585,1.5324
586,1.4953
587,1.5281
588,1.4934
589,1.2894
590,1.3709
591,1.4662
592,1.4354
593,1.4561
594,1.4491
595,1.4308
596,1.4745
597,1.4788
598,1.4607
599,1.4606
600,1.4753
601,1.4579
602,1.436
603,1.4664
604,1.4921
605,1.4895
606,1.4822
607,1.4911
608,1.4862
609,1.4749
610,1.4686
611,1.4611
612,1.4831
613,1.4621
614,1.4176
615,1.4697
616,1.431
617,1.4128
618,1.4664
619,1.4733
620,1.4739
621,1.4802
622,1.4269
623,1.4165
624,1.4118
625,1.4026
626,1.4012
627,1.4417
628,1.3631
629,1.4114
630,1.3924
631,1.4161
632,1.3638
633,1.4508
634,1.4284
635,1.4458
636,1.4128
637,1.461
638,1.4707
639,1.4646
640,1.434
641,1.4348
642,1.4376
643,1.4525
644,1.4462
645,1.4567
646,1.415
647,1.4086
648,1.3952
649,1.3519
650,1.3594
651,1.4447
652,1.3871
653,1.4311
654,1.4153
655,1.3499
656,1.1851
657,1.2393
658,1.3855
659,1.3905
660,1.3992
661,1.3933
662,1.3819
663,1.3844
664,1.3967
665,1.4214
666,1.4203
667,1.4102
668,1.415
669,1.4394
670,1.4196
671,1.4169
672,1.3972
673,1.4094
674,1.4074
675,1.3958
676,1.412
677,1.3991
678,1.4066
679,1.3947
680,1.3969
681,1.3915
682,1.3981
683,1.383
684,1.3739
685,1.3748
686,1.3438
687,0.96824
688,1.1206
689,1.1278
690,1.1821
691,1.2333
692,1.2689
693,1.2609
694,1.2464
695,1.2714
696,1.2684
697,1.3403
698,1.3192
699,1.2918
700,1.2823
701,1.2659
702,1.2674
703,1.2747
704,1.3078
705,1.3214
706,1.3144
707,1.309
708,1.3048
709,1.3095
710,1.3175
711,1.3155
712,1.3071
713,1.2918
714,1.3029
715,1.2587
716,1.2716
717,1.1071
718,1.0296
719,0.92318
720,0.9855
721,1.0861
722,1.2407
723,1.1444
724,1.0555
725,1.038
726,1.0813
727,1.085
728,1.04
729,1.0466
730,1.1285
731,1.0703
732,1.1534
733,1.1962
734,1.2357
735,1.2178
736,1.2059
737,1.2039
738,1.2269
739,1.1905
740,1.2195
741,1.2148
742,1.2153
743,1.2405
744,1.2503
745,1.2497
746,1.247
747,1.2477
748,1.2401
749,1.2357
750,1.2341
751,1.2286
752,1.233
753,1.2266
754,1.242
755,1.2383
756,1.2232
757,1.2221
758,1.2295
759,1.1945
760,0.26604
761,0.15396
762,0.68766
763,0.37952
764,0.53878
765,0.68601
766,0.81461
767,0.97417
768,1.1138
769,1.1278
770,1.1608
771,1.1686
772,1.1778
773,1.1771
774,1.1771
775,1.1771
776,1.1798
777,1.1727
778,1.1713
779,1.1765
780,1.1636
781,1.1607
782,1.1662
783,1.1614
784,1.1536
785,1.1586
786,1.1592
787,1.145
788,1.1305
789,1.1257
790,1.091
791,1.1058
792,1.0953
793,1.0875
794,1.0972
795,1.0932
796,1.0742
797,1.0913
798,1.1121
799,1.0905
800,1.0725
801,1.0843
802,1.0856
803,1.0657
804,1.0782
805,1.0545
806,1.0974
807,1.0859
808,1.0821
809,1.0548
810,1.0559
811,1.0533
812,1.0268
813,1.0086
814,0.90356
815,0.89523
816,0.83216
817,0.85183
818,0.82259
819,0.90519
820,0.86188
821,0.99764
822,0.95157
823,0.67271
824,0.93506
825,0.96935
826,0.93381
827,0.98465
828,0.84979
829,0.9293
830,0.91601
831,0.92392
832,0.89426
833,0.9565
834,0.93412
835,1.0032
836,0.97234
837,1.0092
838,0.99901
839,1.0013
840,1.0157
841,1.0101
842,0.99703
843,1.0053
844,0.98631
845,1.0165
846,1.0187
847,0.9917
848,0.99217
849,0.98596
850,0.89372
851,0.97493
852,0.96927
853,0.96486
854,0.85112
855,0.913
856,0.97317
857,0.99166
858,0.99196
859,0.99171
860,0.98816
861,0.98679
862,0.99449
863,1.0005
864,0.97916
865,0.96324
866,0.849
867,0.91546
868,0.9592
869,0.94956
870,0.96755
871,0.95387
872,0.96686
873,0.95721
874,0.94042
875,0.92687
876,0.95277
877,0.95615
878,0.95237
879,0.93656
880,0.93957
881,0.90861
882,0.93245
883,0.92927
884,0.93305
885,0.94423
886,0.90752
887,0.91062
888,0.92228
889,0.93455
890,0.92393
891,0.92584
892,0.90881
893,0.87327
894,0.8513
895,0.81357
896,0.76253
897,0.66566
898,0.7178
899,0.54871
900,0.7426
901,0.59933
902,0.66791
903,0.68889
904,0.84457
905,0.81709
906,0.77558
907,0.63854
908,0.65217
909,0.70431
910,0.62467
911,0.66808
912,0.68893
913,0.62834
914,0.62649
915,0.67836
916,0.57646
917,0.73017
918,0.59271
919,0.73877
920,0.74414
921,0.78049
922,0.70026
923,0.74504
924,0.7215
925,0.7111
926,0.70331
927,0.78742
928,0.58968
929,0.55127
930,0.4321
931,0.40921
932,0.30086
933,0.24841
934,0.1438
935,0.25084
936,0.16142
937,0.16338
938,0.20058
939,0.39887
940,0.47181
941,0.37195
942,0.40532
943,0.27834
944,0.28579
945,0.36821
946,0.19461
947,0.37112
948,0.27423
949,0.49396
950,0.14726
951,0.48378
952,0.26891
953,0.34362
954,0.42411
955,0.34117
956,0.32821
957,0.27067
958,0.46101
959,0.37385
960,0.42066
961,0.4612
962,0.44174
963,0.50503
964,0.4586
965,0.50374
966,0.50275
967,0.5024
968,0.6521
969,0.68622
970,0.63461
971,0.71397
972,0.68765
973,0.60648
974,0.57529
975,0.58987
976,0.57191
977,0.63864
978,0.61509
979,0.63815
980,0.60468
981,0.71338
982,0.69218
983,0.66865
984,0.73732
985,0.68817
986,0.75083
987,0.73928
988,0.73462
989,0.74906
990,0.73227
991,0.75358
992,0.75102
993,0.73728
994,0.7541
995,0.75176
996,0.74884
997,0.73971
998,0.73887
999,0.73857
1000,0.73532
1001,0.74442
1002,0.72805
1003,0.73442
1004,0.72336
1005,0.68174
1006,0.71252
1007,0.72753
1008,0.72685
1009,0.71972
1010,0.71914
1011,0.72278
1012,0.71877
1013,0.71761
1014,0.72068
1015,0.70817
1016,0.71129
1017,0.70337
1018,0.71422
1019,0.68878
1020,0.69896
1021,0.70175
1022,0.6897
1023,0.69508
1024,0.69058
1025,0.69753
1026,0.69636
1027,0.69305
1028,0.69385
1029,0.68628
1030,0.69055
1031,0.68736
1032,0.68787
1033,0.67613
1034,0.68015
1035,0.68234
1036,0.68202
1037,0.67497
1038,0.67172
1039,0.67636
1040,0.6717
1041,0.67176
1042,0.672
1043,0.66525
1044,0.66833
1045,0.66452
1046,0.64714
1047,0.65694
1048,0.66274
1049,0.65896
1050,0.65463
1051,0.65521
1052,0.65118
1053,0.64919
1054,0.64646
1055,0.64847
1056,0.64641
1057,0.64482
1058,0.63818
1059,0.61875
1060,0.63585
1061,0.62121
1062,0.63266
1063,0.62239
1064,0.63196
1065,0.62913
1066,0.61713
1067,0.62032
1068,0.61944
1069,0.58626
1070,0.60469
1071,0.61661
1072,0.61536
1073,0.60363
1074,0.62158
1075,0.59252
1076,0.61471
1077,0.60434
1078,0.60321
1079,0.60474
1080,0.59722
1081,0.58083
1082,0.5894
1083,0.59814
1084,0.57852
1085,0.5933
1086,0.5541
1087,0.56697
1088,0.59317
1089,0.57919
1090,0.55573
1091,0.58835
1092,0.58124
1093,0.51058
1094,0.53965
1095,0.52067
1096,0.50323
1097,0.57852
1098,0.50291
1099,0.50772
1100,0.48577
1101,0.49696
1102,0.46883
1103,0.46637
1104,0.46765
1105,0.50644
1106,0.39792
1107,0.48304
1108,0.41565
1109,0.41278
1110,0.47899
1111,0.33154
1112,0.41357
1113,0.2685
1114,0.29985
1115,0.24987
1116,0.20136
1117,0.07962
1118,0.21753
1119,0.11317
1120,0.14189
1121,0.18586
1122,0.08169
1123,0.12817
1124,0.1087
1125,0.14428
1126,0.05159
1127,0.15725
1128,0.09922
1129,0.10591
1130,0.07057
1131,0.2956
1132,0.23411
1133,0.15331
1134,0.04174
1135,0.01546
1136,0.12876
1137,0.28785
1138,0.20329
1139,0.2985
1140,0.25599
1141,0.19337
1142,0.22479
1143,0.31183
1144,0.11326
1145,0.14604
1146,0.15764
1147,0.05918
1148,0.27113
1149,0.21854
1150,0.12164
1151,0.2034
1152,0.24762
1153,0.23812
1154,0.14248
1155,0.31316
1156,0.2809
1157,0.31458
1158,0.31171
1159,0.33693
1160,0.28648
1161,0.34753
1162,0.35002
1163,0.46857
1164,0.40188
1165,0.3886
1166,0.37494
1167,0.40996
1168,0.41954
1169,0.4231
1170,0.45873
1171,0.44831
1172,0.45483
1173,0.45642
1174,0.33692
1175,0.4524
1176,0.47679
1177,0.47235
1178,0.36
1179,0.48371
1180,0.44069
1181,0.45514
1182,0.32318
1183,0.4387
1184,0.41985
1185,0.40741
1186,0.47715
1187,0.45575
1188,0.33504
1189,0.41569
1190,0.46239
1191,0.4466
1192,0.47336
1193,0.45434
1194,0.4689
1195,0.44696
1196,0.43131
1197,0.47715
1198,0.43392
1199,0.36489
1200,0.44825
1201,0.43708
1202,0.43717
1203,0.43409
1204,0.36247
1205,0.43692
1206,0.48086
1207,0.42986
1208,0.43346
1209,0.41428
1210,0.45336
1211,0.42232
1212,0.42489
1213,0.46956
1214,0.43407
1215,0.4278
1216,0.4664
1217,0.45528
1218,0.45934
1219,0.44663
1220,0.45805
1221,0.46531
1222,0.45139
1223,0.44406
1224,0.44808
1225,0.46236
1226,0.46819
1227,0.43304
1228,0.46658
1229,0.46721
1230,0.46003
1231,0.47203
1232,0.46633
1233,0.45397
1234,0.47016
1235,0.46504
1236,0.46908
1237,0.46339
1238,0.46797
1239,0.46272
1240,0.46077
1241,0.46197
1242,0.46247
1243,0.45754
1244,0.45528
1245,0.45655
1246,0.45945
1247,0.45746
1248,0.4586
1249,0.45966
1250,0.45705
1251,0.45258
1252,0.45097
1253,0.44773
1254,0.44363
1255,0.4507
1256,0.44023
1257,0.43532
1258,0.44496
1259,0.42725
1260,0.4311
1261,0.41146
1262,0.39567
1263,0.40019
1264,0.37148
1265,0.3957
1266,0.38527
1267,0.38822
1268,0.37051
1269,0.24652
1270,0.38744
1271,0.40825
1272,0.40879
1273,0.40625
1274,0.40614
1275,0.41233
1276,0.41693
1277,0.42001
1278,0.42763
1279,0.42456
1280,0.42204
1281,0.41335
1282,0.37305
1283,0.40733
1284,0.42078
1285,0.42399
1286,0.42714
1287,0.42213
1288,0.41989
1289,0.40936
1290,0.41285
1291,0.41786
1292,0.39618
1293,0.41257
1294,0.40421
1295,0.40514
1296,0.38957
1297,0.3713
1298,0.39183
1299,0.40852
1300,0.35312
1301,0.36228
1302,0.39181
1303,0.34621
1304,0.30062
1305,0.38382
1306,0.38453
1307,0.30594
1308,0.34696
1309,0.38413
1310,0.30114
1311,0.33366
1312,0.33337
1313,0.31352
1314,0.28833
1315,0.28581
1316,0.32419
1317,0.31217
1318,0.33328
1319,0.26855
1320,0.25872
1321,0.29866
1322,0.30217
1323,0.23279
1324,0.26249
1325,0.32224
1326,0.28051
1327,0.26625
1328,0.2345
1329,0.17759
1330,0.22923
1331,0.1448
1332,0.14579
1333,0.20304
1334,0.16925
1335,0.23117
1336,0.18348
1337,0.16454
1338,0.17804
1339,0.17681
1340,0.16831
1341,0.17039
1342,0.17798
1343,0.12711
1344,0.07565
1345,0.10904
1346,0.05819
1347,0.06012
1348,0.00475
1349,0.01616
1350,0.01603
1351,0.00463
1352,0.00152
1353,9.61E-05
1354,2.90E-04
1355,3.60E-06
1356,4.81E-05
1357,7.18E-05
1358,4.19E-06
1359,7.34E-07
1360,2.14E-06
1361,4.81E-09
1362,1.81E-11
1363,3.16E-06
1364,1.36E-06
1365,9.08E-12
1366,1.28E-05
1367,4.98E-06
1368,1.48E-13
1369,5.17E-07
1370,2.92E-07
1371,1.97E-08
1372,2.75E-06
1373,4.44E-05
1374,1.79E-04
1375,3.23E-04
1376,2.57E-04
1377,1.23E-04
1378,0.00111
1379,5.22E-05
1380,8.16E-05
1381,2.37E-06
1382,2.57E-06
1383,4.40E-08
1384,6.17E-07
1385,2.09E-06
1386,2.52E-06
1387,1.99E-04
1388,4.03E-06
1389,5.81E-04
1390,4.93E-04
1391,3.44E-04
1392,2.38E-05
1393,1.16E-04
1394,7.55E-05
1395,6.71E-07
1396,6.32E-09
1397,4.91E-05
1398,0.00127
1399,8.12E-04
1400,3.25E-09
1401,1.05E-08
1402,0.00184
1403,0.00238
1404,7.39E-04
1405,3.64E-07
1406,0.00204
1407,1.75E-04
1408,0.00165
1409,6.19E-04
1410,4.67E-04
1411,0.00211
1412,0.00264
1413,0.02335
1414,3.64E-04
1415,1.84E-04
1416,0.03556
1417,0.01176
1418,0.01356
1419,0.00214
1420,0.00827
1421,0.00916
1422,0.04631
1423,0.00922
1424,0.01698
1425,0.02585
1426,0.02779
1427,0.04955
1428,0.00456
1429,0.03802
1430,0.0616
1431,0.05016
1432,0.00252
1433,0.03583
1434,0.02096
1435,0.02142
1436,0.03835
1437,0.02988
1438,0.01326
1439,0.05104
1440,0.0396
1441,0.0318
1442,0.03632
1443,0.04506
1444,0.06179
1445,0.04975
1446,0.0231
1447,0.03621
1448,0.11569
1449,0.10213
1450,0.02741
1451,0.01127
1452,0.06236
1453,0.08198
1454,0.13759
1455,0.06615
1456,0.08851
1457,0.117
1458,0.13643
1459,0.16307
1460,0.08542
1461,0.09028
1462,0.1306
1463,0.04323
1464,0.15184
1465,0.09338
1466,0.0652
1467,0.03605
1468,0.07694
1469,0.09484
1470,0.04968
1471,0.01785
1472,0.04677
1473,0.0702
1474,0.09734
1475,0.18463
1476,0.06878
1477,0.06974
1478,0.06348
1479,0.12001
1480,0.06064
1481,0.11529
1482,0.05849
1483,0.14859
1484,0.13747
1485,0.12503
1486,0.1234
1487,0.06063
1488,0.09418
1489,0.18973
1490,0.17478
1491,0.19778
1492,0.16441
1493,0.18157
1494,0.20367
1495,0.18253
1496,0.16852
1497,0.2285
1498,0.18968
1499,0.21759
1500,0.25061
1501,0.26552
1502,0.23356
1503,0.18493
1504,0.16029
1505,0.18402
1506,0.25773
1507,0.25514
1508,0.24302
1509,0.1869
1510,0.27052
1511,0.26474
1512,0.26068
1513,0.24239
1514,0.22571
1515,0.26573
1516,0.25683
1517,0.24929
1518,0.25211
1519,0.24437
1520,0.2645
1521,0.27505
1522,0.26378
1523,0.28004
1524,0.27539
1525,0.25884
1526,0.26745
1527,0.2622
1528,0.27928
1529,0.27244
1530,0.25522
1531,0.26973
1532,0.27839
1533,0.27714
1534,0.26892
1535,0.26686
1536,0.27464
1537,0.27336
1538,0.27202
1539,0.27295
1540,0.26491
1541,0.26904
1542,0.26927
1543,0.27208
1544,0.2721
1545,0.27705
1546,0.27481
1547,0.27309
1548,0.26675
1549,0.27342
1550,0.2699
1551,0.27058
1552,0.27182
1553,0.27132
1554,0.26474
1555,0.26759
1556,0.2631
1557,0.27062
1558,0.26848
1559,0.26808
1560,0.26568
1561,0.27002
1562,0.26756
1563,0.26667
1564,0.26264
1565,0.26728
1566,0.26245
1567,0.26308
1568,0.25722
1569,0.25452
1570,0.24175
1571,0.23507
1572,0.23775
1573,0.23407
1574,0.24145
1575,0.23974
1576,0.24678
1577,0.21602
1578,0.23516
1579,0.23672
1580,0.24464
1581,0.2487
1582,0.24195
1583,0.24755
1584,0.24904
1585,0.25874
1586,0.25569
1587,0.25303
1588,0.25107
1589,0.23233
1590,0.24179
1591,0.24197
1592,0.25225
1593,0.25833
1594,0.25624
1595,0.25823
1596,0.24452
1597,0.24692
1598,0.25421
1599,0.24202
1600,0.2381
1601,0.22323
1602,0.22413
1603,0.22397
1604,0.22842
1605,0.23683
1606,0.2414
1607,0.23296
1608,0.2299
1609,0.22727
1610,0.2176
1611,0.2268
1612,0.23076
1613,0.23719
1614,0.23838
1615,0.24104
1616,0.2305
1617,0.23465
1618,0.24352
1619,0.241
1620,0.23449
1621,0.2343
1622,0.23754
1623,0.24246
1624,0.24269
1625,0.23782
1626,0.23971
1627,0.24078
1628,0.24126
1629,0.24137
1630,0.23651
1631,0.23806
1632,0.23821
1633,0.23267
1634,0.23282
1635,0.23367
1636,0.23539
1637,0.227
1638,0.22007
1639,0.22026
1640,0.21511
1641,0.2196
1642,0.22082
1643,0.21535
1644,0.22355
1645,0.21822
1646,0.21749
1647,0.22768
1648,0.21655
1649,0.21867
1650,0.22526
1651,0.20855
1652,0.22373
1653,0.22277
1654,0.21583
1655,0.22231
1656,0.22101
1657,0.22223
1658,0.22487
1659,0.2212
1660,0.22332
1661,0.22384
1662,0.21908
1663,0.22235
1664,0.22098
1665,0.21178
1666,0.17884
1667,0.21068
1668,0.21459
1669,0.21516
1670,0.22168
1671,0.21879
1672,0.21147
1673,0.21629
1674,0.21575
1675,0.2136
1676,0.21145
