wl (nm),ir (W m-2 nm-1)
1677,0.21229
1678,0.20915
1679,0.21303
1680,0.20558
1681,0.19447
1682,0.20366
1683,0.20906
1684,0.19797
1685,0.21321
1686,0.21026
1687,0.20484
1688,0.21013
1689,0.20718
1690,0.20523
1691,0.19303
1692,0.20708
1693,0.21134
1694,0.20477
1695,0.20968
1696,0.20922
1697,0.18107
1698,0.20739
1699,0.20551
1700,0.19975
1701,0.20186
1702,0.20396
1703,0.2019
1704,0.19984
1705,0.19778
1706,0.1958
1707,0.19383
1708,0.19185
1709,0.18988
1710,0.1879
1711,0.18825
1712,0.1886
1713,0.18895
1714,0.1893
1715,0.18965
1716,0.18912
1717,0.18858
1718,0.18805
1719,0.18751
1720,0.18698
1721,0.1852
1722,0.18342
1723,0.18164
1724,0.17986
1725,0.17808
1726,0.17728
1727,0.17648
1728,0.17567
1729,0.17487
1730,0.17407
1731,0.17156
1732,0.16906
1733,0.16655
1734,0.16405
1735,0.16154
1736,0.16287
1737,0.1642
1738,0.16552
1739,0.16685
1740,0.16818
1741,0.16551
1742,0.16283
1743,0.16016
1744,0.15748
1745,0.15481
1746,0.15698
1747,0.15915
1748,0.16132
1749,0.16349
1750,0.16566
1751,0.16313
1752,0.1606
1753,0.15807
1754,0.15554
1755,0.15301
1756,0.1544
1757,0.1558
1758,0.15719
1759,0.15859
1760,0.15998
1761,0.15455
1762,0.14912
1763,0.1437
1764,0.13827
1765,0.13284
1766,0.13462
1767,0.13639
1768,0.13817
1769,0.13994
1770,0.14172
1771,0.13634
1772,0.13097
1773,0.12559
1774,0.12022
1775,0.11484
1776,0.11197
1777,0.1091
1778,0.10624
1779,0.10337
1780,0.1005
1781,0.0958
1782,0.09109
1783,0.08639
1784,0.08168
1785,0.07698
1786,0.07937
1787,0.08175
1788,0.08413
1789,0.08652
1790,0.0889
1791,0.08051
1792,0.07211
1793,0.06372
1794,0.05533
1795,0.04693
1796,0.04391
1797,0.04089
1798,0.03787
1799,0.03485
1800,0.03183
1801,0.02843
1802,0.02502
1803,0.02162
1804,0.01822
1805,0.01482
1806,0.01379
1807,0.01277
1808,0.01174
1809,0.01072
1810,0.00969
1811,0.00841
1812,0.00713
1813,0.00585
1814,0.00456
1815,0.00328
1816,0.00282
1817,0.00236
1818,0.00191
1819,0.00145
1820,9.88E-04
1821,0.00104
1822,0.0011
1823,0.00116
1824,0.00122
1825,0.00127
1826,0.00102
1827,7.67E-04
1828,5.13E-04
1829,2.59E-04
1830,5.20E-06
1831,5.45E-06
1832,5.69E-06
1833,5.93E-06
1834,6.18E-06
1835,6.42E-06
1836,5.15E-06
1837,3.88E-06
1838,2.61E-06
1839,1.33E-06
1840,6.27E-08
1841,1.30E-06
1842,2.54E-06
1843,3.78E-06
1844,5.03E-06
1845,6.27E-06
1846,5.61E-06
1847,4.96E-06
1848,4.31E-06
1849,3.65E-06
1850,3.00E-06
1851,2.46E-06
1852,1.91E-06
1853,1.37E-06
1854,8.27E-07
1855,2.84E-07
1856,2.46E-06
1857,4.63E-06
1858,6.80E-06
1859,8.98E-06
1860,1.12E-05
1861,1.23E-05
1862,1.35E-05
1863,1.46E-05
1864,1.58E-05
1865,1.70E-05
1866,1.36E-05
1867,1.02E-05
1868,6.79E-06
1869,3.40E-06
1870,2.67E-10
1871,3.04E-10
1872,3.40E-10
1873,3.77E-10
1874,4.14E-10
1875,4.51E-10
1876,1.55E-05
1877,3.10E-05
1878,4.65E-05
1879,6.20E-05
1880,7.75E-05
1881,7.08E-05
1882,6.41E-05
1883,5.73E-05
1884,5.06E-05
1885,4.39E-05
1886,7.98E-05
1887,1.16E-04
1888,1.52E-04
1889,1.87E-04
1890,2.23E-04
1891,2.05E-04
1892,1.86E-04
1893,1.67E-04
1894,1.48E-04
1895,1.29E-04
1896,1.04E-04
1897,7.80E-05
1898,5.23E-05
1899,2.66E-05
1900,8.62E-07
1901,8.03E-07
1902,7.44E-07
1903,6.85E-07
1904,6.26E-07
1905,5.67E-07
1906,5.06E-06
1907,9.56E-06
1908,1.41E-05
1909,1.85E-05
1910,2.30E-05
1911,2.24E-05
1912,2.18E-05
1913,2.12E-05
1914,2.06E-05
1915,1.99E-05
1916,1.06E-04
1917,1.92E-04
1918,2.78E-04
1919,3.65E-04
1920,4.51E-04
1921,5.48E-04
1922,6.45E-04
1923,7.42E-04
1924,8.39E-04
1925,9.36E-04
1926,8.59E-04
1927,7.83E-04
1928,7.06E-04
1929,6.29E-04
1930,5.52E-04
1931,0.00116
1932,0.00177
1933,0.00238
1934,0.00299
1935,0.00359
1936,0.00353
1937,0.00347
1938,0.00341
1939,0.00334
1940,0.00328
1941,0.0048
1942,0.00631
1943,0.00783
1944,0.00935
1945,0.01086
1946,0.01204
1947,0.01321
1948,0.01438
1949,0.01555
1950,0.01673
1951,0.01539
1952,0.01405
1953,0.01271
1954,0.01137
1955,0.01004
1956,0.01241
1957,0.01478
1958,0.01716
1959,0.01953
1960,0.02191
1961,0.02324
1962,0.02457
1963,0.0259
1964,0.02723
1965,0.02856
1966,0.03262
1967,0.03668
1968,0.04073
1969,0.04479
1970,0.04885
1971,0.05265
1972,0.05645
1973,0.06025
1974,0.06406
1975,0.06786
1976,0.06939
1977,0.07092
1978,0.07245
1979,0.07398
1980,0.07551
1981,0.07702
1982,0.07853
1983,0.08004
1984,0.08155
1985,0.08306
1986,0.08357
1987,0.08408
1988,0.08459
1989,0.0851
1990,0.08561
1991,0.08473
1992,0.08384
1993,0.08296
1994,0.08207
1995,0.08119
1996,0.07258
1997,0.06398
1998,0.05537
1999,0.04676
2000,0.03816
2001,0.03352
2002,0.02889
2003,0.02426
2004,0.01963
2005,0.015
2006,0.01995
2007,0.0249
2008,0.02985
2009,0.0348
2010,0.03975
2011,0.03713
2012,0.03451
2013,0.03189
2014,0.02927
2015,0.02665
2016,0.03031
2017,0.03398
2018,0.03765
2019,0.04131
2020,0.04498
2021,0.05079
2022,0.05659
2023,0.0624
2024,0.0682
2025,0.07401
2026,0.07618
2027,0.07835
2028,0.08052
2029,0.08269
2030,0.08486
2031,0.08716
2032,0.08947
2033,0.09177
2034,0.09408
2035,0.09639
2036,0.09506
2037,0.09374
2038,0.09242
2039,0.0911
2040,0.08978
2041,0.09004
2042,0.0903
2043,0.09056
2044,0.09082
2045,0.09107
2046,0.08644
2047,0.08182
2048,0.07719
2049,0.07256
2050,0.06793
2051,0.06532
2052,0.06272
2053,0.06011
2054,0.05751
2055,0.05491
2056,0.05776
2057,0.06062
2058,0.06348
2059,0.06634
2060,0.06919
2061,0.06773
2062,0.06627
2063,0.0648
2064,0.06334
2065,0.06187
2066,0.06264
2067,0.0634
2068,0.06416
2069,0.06492
2070,0.06568
2071,0.06803
2072,0.07038
2073,0.07274
2074,0.07509
2075,0.07744
2076,0.07932
2077,0.08119
2078,0.08306
2079,0.08494
2080,0.08681
2081,0.08647
2082,0.08613
2083,0.08579
2084,0.08544
2085,0.0851
2086,0.0859
2087,0.0867
2088,0.0875
2089,0.0883
2090,0.0891
2091,0.08923
2092,0.08936
2093,0.08949
2094,0.08962
2095,0.08975
2096,0.08902
2097,0.0883
2098,0.08758
2099,0.08686
2100,0.08613
2101,0.08754
2102,0.08894
2103,0.09034
2104,0.09175
2105,0.09315
2106,0.09245
2107,0.09175
2108,0.09105
2109,0.09035
2110,0.08965
2111,0.09006
2112,0.09046
2113,0.09087
2114,0.09127
2115,0.09167
2116,0.09086
2117,0.09004
2118,0.08922
2119,0.0884
2120,0.08759
2121,0.0878
2122,0.08801
2123,0.08821
2124,0.08842
2125,0.08863
2126,0.08886
2127,0.08909
2128,0.08932
2129,0.08955
2130,0.08977
2131,0.08983
2132,0.08988
2133,0.08994
2134,0.08999
2135,0.09004
2136,0.09019
2137,0.09033
2138,0.09048
2139,0.09062
2140,0.09077
2141,0.09051
2142,0.09025
2143,0.09
2144,0.08974
2145,0.08949
2146,0.08852
2147,0.08755
2148,0.08658
2149,0.08561
2150,0.08464
2151,0.08468
2152,0.08472
2153,0.08476
2154,0.0848
2155,0.08484
2156,0.08471
2157,0.08457
2158,0.08444
2159,0.0843
2160,0.08417
2161,0.0826
2162,0.08103
2163,0.07945
2164,0.07788
2165,0.07631
2166,0.07745
2167,0.07858
2168,0.07972
2169,0.08086
2170,0.082
2171,0.08169
2172,0.08138
2173,0.08107
2174,0.08076
2175,0.08045
2176,0.08072
2177,0.08099
2178,0.08126
2179,0.08154
2180,0.08181
2181,0.08036
2182,0.0789
2183,0.07745
2184,0.076
2185,0.07455
2186,0.07545
2187,0.07636
2188,0.07726
2189,0.07816
2190,0.07907
2191,0.07905
2192,0.07904
2193,0.07902
2194,0.07901
2195,0.07899
2196,0.07743
2197,0.07588
2198,0.07432
2199,0.07276
2200,0.0712
2201,0.07176
2202,0.07233
2203,0.07289
2204,0.07345
2205,0.07401
2206,0.07507
2207,0.07613
2208,0.07719
2209,0.07825
2210,0.07931
2211,0.07871
2212,0.0781
2213,0.07749
2214,0.07688
2215,0.07627
2216,0.07656
2217,0.07686
2218,0.07715
2219,0.07744
2220,0.07773
2221,0.07727
2222,0.07682
2223,0.07636
2224,0.07591
2225,0.07545
2226,0.07552
2227,0.07558
2228,0.07565
2229,0.07571
2230,0.07577
2231,0.07548
2232,0.07518
2233,0.07489
2234,0.07459
2235,0.0743
2236,0.07406
2237,0.07383
2238,0.07359
2239,0.07335
2240,0.07312
2241,0.07266
2242,0.07221
2243,0.07175
2244,0.07129
2245,0.07084
2246,0.07106
2247,0.07128
2248,0.0715
2249,0.07172
2250,0.07194
2251,0.07109
2252,0.07024
2253,0.06939
2254,0.06854
2255,0.06769
2256,0.06754
2257,0.06739
2258,0.06723
2259,0.06708
2260,0.06693
2261,0.06717
2262,0.06741
2263,0.06765
2264,0.0679
2265,0.06814
2266,0.06748
2267,0.06683
2268,0.06617
2269,0.06552
2270,0.06487
2271,0.0647
2272,0.06453
2273,0.06436
2274,0.06419
2275,0.06402
2276,0.06447
2277,0.06493
2278,0.06538
2279,0.06583
2280,0.06629
2281,0.06565
2282,0.065
2283,0.06436
2284,0.06372
2285,0.06308
2286,0.06311
2287,0.06314
2288,0.06316
2289,0.06319
2290,0.06322
2291,0.06283
2292,0.06244
2293,0.06205
2294,0.06166
2295,0.06127
2296,0.06078
2297,0.06029
2298,0.0598
2299,0.05931
2300,0.05882
2301,0.05889
2302,0.05896
2303,0.05903
2304,0.0591
2305,0.05917
2306,0.06011
2307,0.06105
2308,0.06199
2309,0.06293
2310,0.06387
2311,0.06272
2312,0.06158
2313,0.06043
2314,0.05929
2315,0.05814
2316,0.05692
2317,0.0557
2318,0.05448
2319,0.05325
2320,0.05203
2321,0.05287
2322,0.0537
2323,0.05454
2324,0.05538
2325,0.05622
2326,0.05634
2327,0.05646
2328,0.05658
2329,0.0567
2330,0.05682
2331,0.05705
2332,0.05728
2333,0.05751
2334,0.05774
2335,0.05797
2336,0.05554
2337,0.05311
2338,0.05069
2339,0.04826
2340,0.04584
2341,0.04695
2342,0.04806
2343,0.04917
2344,0.05029
2345,0.0514
2346,0.04943
2347,0.04745
2348,0.04548
2349,0.04351
2350,0.04154
2351,0.04272
2352,0.04391
2353,0.0451
2354,0.04629
2355,0.04747
2356,0.04803
2357,0.04858
2358,0.04913
2359,0.04968
2360,0.05024
2361,0.05007
2362,0.04991
2363,0.04974
2364,0.04957
2365,0.04941
2366,0.04569
2367,0.04197
2368,0.03825
2369,0.03454
2370,0.03082
2371,0.03348
2372,0.03615
2373,0.03882
2374,0.04148
2375,0.04415
2376,0.04383
2377,0.04351
2378,0.04319
2379,0.04287
2380,0.04255
2381,0.04021
2382,0.03786
2383,0.03552
2384,0.03317
2385,0.03083
2386,0.03208
2387,0.03334
2388,0.0346
2389,0.03585
2390,0.03711
2391,0.03781
2392,0.0385
2393,0.0392
2394,0.0399
2395,0.04059
2396,0.04131
2397,0.04202
2398,0.04273
2399,0.04344
2400,0.04415
2401,0.04204
2402,0.03993
2403,0.03782
2404,0.03571
2405,0.0336
2406,0.03364
2407,0.03368
2408,0.03373
2409,0.03377
2410,0.03381
2411,0.03251
2412,0.03121
2413,0.02991
2414,0.0286
2415,0.0273
2416,0.02716
2417,0.02702
2418,0.02687
2419,0.02673
2420,0.02659
2421,0.02789
2422,0.02919
2423,0.03048
2424,0.03178
2425,0.03308
2426,0.03548
2427,0.03789
2428,0.04029
2429,0.04269
2430,0.0451
2431,0.03905
2432,0.03301
2433,0.02697
2434,0.02092
2435,0.01488
2436,0.02055
2437,0.02623
2438,0.0319
2439,0.03757
2440,0.04325
2441,0.03876
2442,0.03427
2443,0.02978
2444,0.02529
2445,0.0208
2446,0.01936
2447,0.01792
2448,0.01649
2449,0.01505
2450,0.01361
2451,0.01586
2452,0.01811
2453,0.02036
2454,0.0226
2455,0.02485
2456,0.02655
2457,0.02826
2458,0.02996
2459,0.03166
2460,0.03336
2461,0.03152
2462,0.02968
2463,0.02783
2464,0.02599
2465,0.02415
2466,0.02266
2467,0.02118
2468,0.0197
2469,0.01821
2470,0.01673
2471,0.01667
2472,0.01662
2473,0.01656
2474,0.01651
2475,0.01646
2476,0.01477
2477,0.01309
2478,0.01141
2479,0.00972
2480,0.00804
2481,0.00755
2482,0.00707
2483,0.00658
2484,0.0061
2485,0.00561
2486,0.00519
2487,0.00477
2488,0.00435
2489,0.00393
2490,0.00351
2491,0.00338
2492,0.00326
2493,0.00313
2494,0.003
2495,0.00288
2496,0.00371
2497,0.00455
2498,0.00539
2499,0.00623
2500,0.00706
2501,0.00596
2502,0.00485
2503,0.00374
2504,0.00263
2505,0.00152
2506,0.00166
2507,0.0018
2508,0.00194
2509,0.00208
2510,0.00222
2511,0.00188
2512,0.00154
2513,0.0012
2514,8.58E-04
2515,5.19E-04
2516,4.89E-04
2517,4.59E-04
2518,4.30E-04
2519,4.00E-04
2520,3.71E-04
2521,3.05E-04
2522,2.39E-04
2523,1.73E-04
2524,1.07E-04
2525,4.14E-05
2526,3.32E-05
2527,2.51E-05
2528,1.69E-05
2529,8.79E-06
2530,6.36E-07
2531,5.44E-07
2532,4.52E-07
2533,3.59E-07
2534,2.67E-07
2535,1.75E-07
2536,2.15E-07
2537,2.56E-07
2538,2.96E-07
2539,3.37E-07
2540,3.77E-07
2541,3.02E-07
2542,2.26E-07
2543,1.51E-07
2544,7.55E-08
2545,5.38E-11
2546,4.31E-11
2547,3.24E-11
2548,2.17E-11
2549,1.10E-11
2550,2.82E-13
2551,2.09E-10
2552,4.18E-10
2553,6.26E-10
2554,8.35E-10
2555,1.04E-09
2556,8.41E-10
2557,6.39E-10
2558,4.36E-10
2559,2.34E-10
2560,3.10E-11
2561,2.48E-11
2562,1.86E-11
2563,1.24E-11
2564,6.22E-12
2565,1.60E-14
2566,1.28E-14
2567,9.57E-15
2568,6.38E-15
2569,3.19E-15
2570,1.53E-18
2571,1.22E-18
2572,9.15E-19
2573,6.10E-19
2574,3.05E-19
2575,1.08E-27
2576,7.64E-23
2577,1.53E-22
2578,2.29E-22
2579,3.06E-22
2580,3.82E-22
2581,3.06E-22
2582,2.29E-22
2583,1.53E-22
2584,7.64E-23
2585,1.72E-34
2586,1.10E-31
2587,2.19E-31
2588,3.29E-31
2589,4.38E-31
2590,5.48E-31
2591,4.39E-31
2592,3.30E-31
2593,2.21E-31
2594,1.11E-31
2595,2.28E-33
2596,8.98E-29
2597,1.80E-28
2598,2.69E-28
2599,3.59E-28
2600,4.49E-28
2601,3.59E-28
2602,2.69E-28
2603,1.80E-28
2604,8.98E-29
2605,5.81E-35
2606,1.65E-34
2607,2.73E-34
2608,3.80E-34
2609,4.87E-34
2610,5.94E-34
2611,4.76E-34
2612,3.57E-34
2613,2.38E-34
2614,1.19E-34
2615,1.12E-37
2616,1.13E-29
2617,2.26E-29
2618,3.39E-29
2619,4.52E-29
2620,5.65E-29
2621,1.23E-28
2622,1.89E-28
2623,2.55E-28
2624,3.21E-28
2625,3.87E-28
2626,3.09E-28
2627,2.32E-28
2628,1.55E-28
2629,7.74E-29
2630,2.80E-45
2631,7.81E-17
2632,1.56E-16
2633,2.34E-16
2634,3.12E-16
2635,3.90E-16
2636,3.36E-16
2637,2.81E-16
2638,2.27E-16
2639,1.72E-16
2640,1.18E-16
2641,9.42E-17
2642,7.09E-17
2643,4.75E-17
2644,2.42E-17
2645,9.00E-19
2646,7.48E-19
2647,5.97E-19
2648,4.46E-19
2649,2.94E-19
2650,1.43E-19
2651,1.14E-19
2652,8.58E-20
2653,5.72E-20
2654,2.86E-20
2655,1.31E-27
2656,5.32E-26
2657,1.05E-25
2658,1.57E-25
2659,2.09E-25
2660,2.61E-25
2661,2.09E-25
2662,1.56E-25
2663,1.04E-25
2664,5.21E-26
2665,1.11E-37
2666,8.90E-38
2667,6.67E-38
2668,4.45E-38
2669,2.22E-38
2670,0
2671,0
2672,0
2673,0
2674,0
2675,0
2676,0
2677,0
2678,0
2679,0
2680,0
2681,0
2682,0
2683,0
2684,0
2685,0
2686,2.05E-30
2687,4.09E-30
2688,6.14E-30
2689,8.18E-30
2690,1.02E-29
2691,8.18E-30
2692,6.14E-30
2693,4.09E-30
2694,2.05E-30
2695,7.13E-33
2696,5.70E-33
2697,4.28E-33
2698,2.85E-33
2699,1.43E-33
2700,0
2701,5.86E-43
2702,1.17E-42
2703,1.76E-42
2704,2.35E-42
2705,2.93E-42
2706,2.25E-36
2707,4.50E-36
2708,6.75E-36
2709,9.00E-36
2710,1.13E-35
2711,7.71E-27
2712,1.54E-26
2713,2.31E-26
2714,3.08E-26
2715,3.86E-26
2716,3.08E-26
2717,2.31E-26
2718,1.54E-26
2719,7.71E-27
2720,5.61E-45
2721,1.46E-22
2722,2.92E-22
2723,4.38E-22
2724,5.83E-22
2725,7.29E-22
2726,1.22E-19
2727,2.43E-19
2728,3.65E-19
2729,4.86E-19
2730,6.07E-19
2731,4.87E-19
2732,3.67E-19
2733,2.46E-19
2734,1.26E-19
2735,5.49E-21
2736,4.39E-21
2737,3.29E-21
2738,2.20E-21
2739,1.10E-21
2740,2.33E-27
2741,2.63E-24
2742,5.26E-24
2743,7.89E-24
2744,1.05E-23
2745,1.31E-23
2746,1.05E-23
2747,7.89E-24
2748,5.26E-24
2749,2.63E-24
2750,1.66E-28
2751,1.33E-28
2752,9.99E-29
2753,6.66E-29
2754,3.33E-29
2755,6.73E-44
2756,5.38E-44
2757,4.04E-44
2758,2.69E-44
2759,1.35E-44
2760,0
2761,5.36E-28
2762,1.07E-27
2763,1.61E-27
2764,2.14E-27
2765,2.68E-27
2766,1.68E-24
2767,3.35E-24
2768,5.03E-24
2769,6.70E-24
2770,8.38E-24
2771,6.70E-24
2772,5.03E-24
2773,3.35E-24
2774,1.68E-24
2775,4.00E-38
2776,9.62E-35
2777,1.92E-34
2778,2.88E-34
2779,3.85E-34
2780,4.81E-34
2781,7.77E-28
2782,1.55E-27
2783,2.33E-27
2784,3.11E-27
2785,3.89E-27
2786,2.43E-17
2787,4.87E-17
2788,7.30E-17
2789,9.74E-17
2790,1.22E-16
2791,1.70E-16
2792,2.18E-16
2793,2.66E-16
2794,3.14E-16
2795,3.62E-16
2796,3.30E-13
2797,6.60E-13
2798,9.89E-13
2799,1.32E-12
2800,1.65E-12
2801,1.33E-12
2802,1.02E-12
2803,7.00E-13
2804,3.84E-13
2805,6.75E-14
2806,8.05E-11
2807,1.61E-10
2808,2.41E-10
2809,3.22E-10
2810,4.02E-10
2811,3.79E-10
2812,3.56E-10
2813,3.33E-10
2814,3.10E-10
2815,2.87E-10
2816,2.34E-10
2817,1.80E-10
2818,1.27E-10
2819,7.38E-11
2820,2.05E-11
2821,3.52E-08
2822,7.04E-08
2823,1.06E-07
2824,1.41E-07
2825,1.76E-07
2826,9.21E-07
2827,1.67E-06
2828,2.41E-06
2829,3.16E-06
2830,3.90E-06
2831,3.12E-06
2832,2.34E-06
2833,1.56E-06
2834,7.80E-07
2835,2.13E-10
2836,3.94E-08
2837,7.86E-08
2838,1.18E-07
2839,1.57E-07
2840,1.96E-07
2841,8.27E-06
2842,1.63E-05
2843,2.44E-05
2844,3.25E-05
2845,4.06E-05
2846,3.27E-05
2847,2.48E-05
2848,1.69E-05
2849,9.04E-06
2850,1.16E-06
2851,1.02E-06
2852,8.73E-07
2853,7.32E-07
2854,5.90E-07
2855,4.49E-07
2856,5.43E-06
2857,1.04E-05
2858,1.54E-05
2859,2.04E-05
2860,2.54E-05
2861,5.38E-05
2862,8.23E-05
2863,1.11E-04
2864,1.39E-04
2865,1.68E-04
2866,1.35E-04
2867,1.03E-04
2868,7.08E-05
2869,3.86E-05
2870,6.31E-06
2871,8.34E-05
2872,1.60E-04
2873,2.38E-04
2874,3.15E-04
2875,3.92E-04
2876,3.63E-04
2877,3.34E-04
2878,3.05E-04
2879,2.76E-04
2880,2.47E-04
2881,2.88E-04
2882,3.30E-04
2883,3.71E-04
2884,4.12E-04
2885,4.53E-04
2886,4.00E-04
2887,3.46E-04
2888,2.93E-04
2889,2.40E-04
2890,1.86E-04
2891,6.82E-04
2892,0.00118
2893,0.00167
2894,0.00217
2895,0.00266
2896,0.00229
2897,0.00192
2898,0.00155
2899,0.00118
2900,8.12E-04
2901,6.71E-04
2902,5.31E-04
2903,3.91E-04
2904,2.51E-04
2905,1.11E-04
2906,6.33E-04
2907,0.00116
2908,0.00168
2909,0.0022
2910,0.00272
2911,0.00243
2912,0.00214
2913,0.00184
2914,0.00155
2915,0.00126
2916,0.00159
2917,0.00191
2918,0.00224
2919,0.00257
2920,0.00289
2921,0.00253
2922,0.00217
2923,0.00181
2924,0.00145
2925,0.00108
2926,0.00204
2927,0.003
2928,0.00396
2929,0.00493
2930,0.00589
2931,0.00601
2932,0.00613
2933,0.00625
2934,0.00637
2935,0.00649
2936,0.00552
2937,0.00455
2938,0.00357
2939,0.0026
2940,0.00163
2941,0.00159
2942,0.00156
2943,0.00152
2944,0.00148
2945,0.00145
2946,0.0022
2947,0.00296
2948,0.00372
2949,0.00447
2950,0.00523
2951,0.00465
2952,0.00407
2953,0.00349
2954,0.00291
2955,0.00234
2956,0.00279
2957,0.00324
2958,0.00369
2959,0.00414
2960,0.0046
2961,0.00517
2962,0.00573
2963,0.0063
2964,0.00687
2965,0.00744
2966,0.00602
2967,0.0046
2968,0.00319
2969,0.00177
2970,3.52E-04
2971,4.53E-04
2972,5.53E-04
2973,6.54E-04
2974,7.54E-04
2975,8.54E-04
2976,9.51E-04
2977,0.00105
2978,0.00114
2979,0.00124
2980,0.00134
2981,0.00246
2982,0.00359
2983,0.00471
2984,0.00584
2985,0.00696
2986,0.00763
2987,0.00829
2988,0.00895
2989,0.00962
2990,0.01028
2991,0.00908
2992,0.00788
2993,0.00668
2994,0.00548
2995,0.00428
2996,0.00499
2997,0.0057
2998,0.00642
2999,0.00713
3000,0.00785
