wl,alpha
250,7.60675
251,7.46295
252,7.31915
253,7.17534
254,7.03154
255,6.88774
256,6.76666
257,6.64559
258,6.52452
259,6.40345
260,6.28238
261,6.17428
262,6.06618
263,5.95809
264,5.84999
265,5.74189
266,5.63136
267,5.52082
268,5.41029
269,5.29975
270,5.18922
271,5.08707
272,4.98493
273,4.88278
274,4.78064
275,4.67849
276,4.58828
277,4.49807
278,4.40786
279,4.31765
280,4.22744
281,4.15671
282,4.08598
283,4.01524
284,3.94451
285,3.87378
286,3.77541
287,3.67704
288,3.57866
289,3.48029
290,3.38192
291,3.31525
292,3.24859
293,3.18192
294,3.11525
295,3.04859
296,3.0041
297,2.95961
298,2.91513
299,2.87064
300,2.82615
301,2.77389
302,2.72163
303,2.66937
304,2.61711
305,2.56485
306,2.51978
307,2.47471
308,2.42963
309,2.38456
310,2.33949
311,2.30323
312,2.26697
313,2.23071
314,2.19445
315,2.15819
316,2.13406
317,2.10993
318,2.0858
319,2.06167
320,2.03754
321,2.01744
322,1.99735
323,1.97725
324,1.95715
325,1.93705
326,1.91871
327,1.90037
328,1.88203
329,1.86369
330,1.84535
331,1.82798
332,1.81062
333,1.79325
334,1.77588
335,1.75852
336,1.73966
337,1.7208
338,1.70193
339,1.68307
340,1.66421
341,1.64553
342,1.62685
343,1.60816
344,1.58948
345,1.5708
346,1.55189
347,1.53298
348,1.51408
349,1.49517
350,1.47626
351,1.45974
352,1.44323
353,1.42671
354,1.41019
355,1.39368
356,1.3793
357,1.36492
358,1.35054
359,1.33616
360,1.32178
361,1.25421
362,1.13511
363,1.07917
364,1.03729
365,1.01203
366,0.98841
367,0.96753
368,0.94665
369,0.90288
370,0.87895
371,0.85729
372,0.84285
373,0.82999
374,0.81716
375,0.80498
376,0.7928
377,0.78037
378,0.76722
379,0.75407
380,0.73045
381,0.71208
382,0.70287
383,0.69367
384,0.68447
385,0.67566
386,0.66686
387,0.65837
388,0.65115
389,0.64393
390,0.63652
391,0.62647
392,0.61641
393,0.6063
394,0.59615
395,0.586
396,0.58028
397,0.57529
398,0.57029
399,0.56529
400,0.55981
401,0.55341
402,0.54701
403,0.54062
404,0.53359
405,0.52602
406,0.51844
407,0.51102
408,0.50633
409,0.50163
410,0.49694
411,0.49225
412,0.48756
413,0.48291
414,0.47827
415,0.47363
416,0.46899
417,0.46435
418,0.45966
419,0.45497
420,0.45028
421,0.44558
422,0.44089
423,0.43669
424,0.43263
425,0.42857
426,0.42451
427,0.42045
428,0.41642
429,0.41251
430,0.4086
431,0.4047
432,0.40079
433,0.39688
434,0.39297
435,0.38935
436,0.38574
437,0.38213
438,0.37852
439,0.37491
440,0.3713
441,0.36708
442,0.36262
443,0.35816
444,0.35371
445,0.34925
446,0.34479
447,0.34208
448,0.33976
449,0.33744
450,0.33512
451,0.3328
452,0.33048
453,0.32816
454,0.32544
455,0.32234
456,0.31925
457,0.31615
458,0.31306
459,0.30997
460,0.30687
461,0.30387
462,0.30117
463,0.29846
464,0.29575
465,0.29305
466,0.29034
467,0.28763
468,0.28477
469,0.2819
470,0.27904
471,0.27617
472,0.2733
473,0.27023
474,0.26481
475,0.2594
476,0.25398
477,0.24893
478,0.24487
479,0.24081
480,0.23675
481,0.23279
482,0.22974
483,0.2267
484,0.22365
485,0.22061
486,0.21756
487,0.21449
488,0.2114
489,0.2083
490,0.20521
491,0.20212
492,0.19958
493,0.1973
494,0.19502
495,0.19274
496,0.19046
497,0.18818
498,0.18602
499,0.18511
500,0.18421
501,0.18331
502,0.18241
503,0.1815
504,0.1806
505,0.18019
506,0.17987
507,0.17955
508,0.17923
509,0.17891
510,0.17859
511,0.17882
512,0.17909
513,0.17936
514,0.17964
515,0.17991
516,0.18018
517,0.18045
518,0.17893
519,0.17738
520,0.17583
521,0.17429
522,0.17274
523,0.17119
524,0.16965
525,0.16889
526,0.16849
527,0.16809
528,0.16769
529,0.16729
530,0.16689
531,0.16649
532,0.16609
533,0.16569
534,0.16541
535,0.16541
536,0.16541
537,0.16541
538,0.16541
539,0.16541
540,0.16541
541,0.16541
542,0.16541
543,0.16514
544,0.1647
545,0.16427
546,0.16384
547,0.1634
548,0.16297
549,0.16254
550,0.16211
551,0.16167
552,0.16221
553,0.16279
554,0.16337
555,0.16395
556,0.16453
557,0.16511
558,0.16569
559,0.16627
560,0.16685
561,0.16752
562,0.16849
563,0.16945
564,0.17042
565,0.17139
566,0.17235
567,0.17332
568,0.17429
569,0.17526
570,0.17622
571,0.17802
572,0.18061
573,0.1832
574,0.18579
575,0.18838
576,0.19097
577,0.19356
578,0.19615
579,0.19977
580,0.20432
581,0.20886
582,0.21341
583,0.21796
584,0.22251
585,0.22705
586,0.2316
587,0.23615
588,0.24357
589,0.25151
590,0.25945
591,0.26739
592,0.27533
593,0.2836
594,0.29206
595,0.30052
596,0.30898
597,0.31743
598,0.32601
599,0.33585
600,0.34569
601,0.35554
602,0.365
603,0.37343
604,0.38185
605,0.38947
606,0.39218
607,0.39489
608,0.39759
609,0.4003
610,0.40301
611,0.40571
612,0.40829
613,0.41032
614,0.41235
615,0.41438
616,0.41641
617,0.41844
618,0.42047
619,0.4225
620,0.42453
621,0.42664
622,0.42875
623,0.43087
624,0.43299
625,0.43511
626,0.43723
627,0.43935
628,0.44146
629,0.44353
630,0.4456
631,0.44766
632,0.44972
633,0.45178
634,0.45385
635,0.45591
636,0.45787
637,0.45977
638,0.46166
639,0.46356
640,0.46545
641,0.46735
642,0.46924
643,0.47146
644,0.47387
645,0.47627
646,0.47868
647,0.48109
648,0.48349
649,0.4868
650,0.49154
651,0.49628
652,0.50101
653,0.50575
654,0.51049
655,0.51754
656,0.52506
657,0.53258
658,0.5401
659,0.54762
660,0.55514
661,0.5595
662,0.5616
663,0.56371
664,0.56581
665,0.56792
666,0.57003
667,0.57207
668,0.57398
669,0.57589
670,0.5778
671,0.57971
672,0.58162
673,0.58367
674,0.5859
675,0.58812
676,0.59035
677,0.59258
678,0.59481
679,0.59729
680,0.6
681,0.60271
682,0.60541
683,0.60812
684,0.61083
685,0.61382
686,0.61754
687,0.62126
688,0.62498
689,0.6287
690,0.63242
691,0.64072
692,0.65077
693,0.6607
694,0.67033
695,0.67995
696,0.69011
697,0.70297
698,0.71583
699,0.72816
700,0.73966
701,0.75117
702,0.76953
703,0.79227
704,0.80873
705,0.82429
706,0.84308
707,0.87903
708,0.89605
709,0.91306
710,0.93195
711,0.9509
712,1.00619
713,1.04549
714,1.07256
715,1.10564
716,1.15763
717,1.22891
718,1.30196
719,1.42261
720,1.49218
721,1.56174
722,1.63131
723,1.70088
724,1.77045
725,1.85891
726,1.94738
727,2.03584
728,2.12431
729,2.21278
730,2.27334
731,2.3339
732,2.39446
733,2.45502
734,2.51558
735,2.57614
736,2.61434
737,2.65254
738,2.69074
739,2.72894
740,2.76714
741,2.79049
742,2.81383
743,2.83718
744,2.86053
745,2.88387
746,2.89073
747,2.89759
748,2.90445
749,2.9113
750,2.91816
751,2.92194
752,2.92571
753,2.92949
754,2.93326
755,2.93704
756,2.93302
757,2.929
758,2.92498
759,2.92095
760,2.91693
761,2.91053
762,2.90413
763,2.89772
764,2.89132
765,2.88491
766,2.87851
767,2.84798
768,2.81745
769,2.78692
770,2.76888
771,2.75084
772,2.7328
773,2.71476
774,2.69672
775,2.67868
776,2.65019
777,2.62171
778,2.59323
779,2.56474
780,2.53626
781,2.50773
782,2.4792
783,2.45068
784,2.42215
785,2.39362
786,2.37398
787,2.35434
788,2.3347
789,2.31506
790,2.29542
791,2.27578
792,2.2582
793,2.24063
794,2.22305
795,2.21818
796,2.2133
797,2.20842
798,2.20354
799,2.19867
800,2.19379
801,2.1977
802,2.20161
803,2.20552
804,2.20943
805,2.21334
806,2.23685
807,2.26036
808,2.28387
809,2.30739
810,2.33863
811,2.36986
812,2.4011
813,2.43234
814,2.46358
815,2.49482
816,2.55054
817,2.60625
818,2.66197
819,2.71768
820,2.7734
821,2.85461
822,2.93581
823,3.01702
824,3.09822
825,3.1572
826,3.21618
827,3.27516
828,3.33413
829,3.39311
830,3.45209
831,3.50472
832,3.55735
833,3.60998
834,3.66261
835,3.71524
836,3.76786
837,3.85376
838,3.93966
839,4.02556
840,4.11145
841,4.18254
842,4.25363
843,4.32471
844,4.3958
845,4.46688
846,4.56052
847,4.65415
848,4.74778
849,4.84141
850,4.89713
851,4.95285
852,5.00857
853,5.06429
854,5.12001
855,5.17573
856,5.24951
857,5.32329
858,5.39706
859,5.47084
860,5.51807
861,5.5653
862,5.61253
863,5.65976
864,5.707
865,5.75423
866,5.80187
867,5.84951
868,5.89715
869,5.94479
870,5.99243
871,6.04007
872,6.09695
873,6.15383
874,6.21072
875,6.2676
876,6.31873
877,6.36986
878,6.42099
879,6.47212
880,6.51254
881,6.55295
882,6.59337
883,6.63379
884,6.67421
885,6.71462
886,6.77357
887,6.83252
888,6.89147
889,6.95042
890,6.99962
891,7.04883
892,7.09803
893,7.14724
894,7.19644
895,7.24564
896,7.31394
897,7.38223
898,7.45052
899,7.51882
900,7.58711
901,7.65285
902,7.71858
903,7.78432
904,7.85005
905,7.91579
906,7.98152
907,8.18404
908,8.38655
909,8.58906
910,8.79157
911,9.16423
912,9.53689
913,9.90955
914,10.28221
915,10.67926
916,11.07632
917,11.47338
918,11.87043
919,12.26749
920,12.66455
921,13.34971
922,14.03488
923,14.72005
924,15.40522
925,16.09039
926,17.23531
927,18.38023
928,19.52516
929,20.67009
930,21.65435
931,22.63861
932,23.62287
933,24.60714
934,25.5914
935,26.57566
936,27.74025
937,28.90483
938,30.06942
939,31.234
940,32.39858
941,33.80321
942,35.20784
943,36.61247
944,38.01709
945,38.77091
946,39.52473
947,40.27854
948,41.03236
949,41.78617
950,42.53999
951,43.2938
952,44.19215
953,45.0905
954,45.98884
955,46.88719
956,47.44793
957,48.00866
958,48.56939
959,49.13013
960,49.30135
961,49.47257
962,49.64379
963,49.81501
964,49.98623
965,50.15745
966,50.32867
967,50.39301
968,50.45735
969,50.52169
970,50.58603
971,50.65037
972,50.51269
973,50.37502
974,50.23735
975,50.09968
976,49.87606
977,49.65244
978,49.42881
979,49.20519
980,48.98157
981,48.63306
982,48.28456
983,47.93606
984,47.58755
985,47.37293
986,47.1583
987,46.94368
988,46.72906
989,46.51443
990,46.29981
991,46.08519
992,45.6018
993,45.11842
994,44.63504
995,44.15166
996,43.74328
997,43.33491
998,42.92653
999,42.51816
1000,42.10978
1001,41.58579
1002,41.06179
1003,40.53779
1004,40.01379
1005,39.4898
1006,38.9658
1007,38.4418
1008,37.91781
1009,37.39381
1010,36.97223
1011,36.55066
1012,36.12909
1013,35.70751
1014,35.28594
1015,34.86436
1016,34.44279
1017,34.02121
1018,33.59964
1019,33.17806
1020,32.75649
1021,32.33492
1022,31.77207
1023,31.20923
1024,30.64638
1025,30.08354
1026,29.5207
1027,28.95785
1028,28.39501
1029,27.83216
1030,27.26932
1031,26.8233
1032,26.37728
1033,25.93127
1034,25.48525
1035,25.03923
1036,24.59321
1037,24.14719
1038,23.70118
1039,23.25516
1040,22.80914
1041,22.42523
1042,22.04131
1043,21.6574
1044,21.27349
1045,20.88958
1046,20.50566
1047,20.12175
1048,19.73784
1049,19.35392
1050,18.97001
1051,18.77528
1052,18.58055
1053,18.38582
1054,18.19109
1055,17.99636
1056,17.80163
1057,17.6069
1058,17.41217
1059,17.21744
1060,17.14885
1061,17.08027
1062,17.01169
1063,16.9431
1064,16.87452
1065,16.80594
1066,16.73735
1067,16.66877
1068,16.60018
1069,16.5316
1070,16.60733
1071,16.68307
1072,16.7588
1073,16.83453
1074,16.91026
1075,16.986
1076,17.06173
1077,17.13746
1078,17.21319
1079,17.28893
1080,17.49211
1081,17.69529
1082,17.89847
1083,18.10166
1084,18.30484
1085,18.50802
1086,18.7112
1087,18.91438
1088,19.11757
1089,19.32075
1090,19.57018
1091,19.8196
1092,20.06903
1093,20.31845
1094,20.56788
1095,20.81731
1096,21.06673
1097,21.31616
1098,21.56558
1099,21.81501
1100,22.213
1101,22.61098
1102,23.00897
1103,23.40696
1104,23.80495
1105,24.20293
1106,24.60092
1107,24.99891
1108,25.39689
1109,25.79488
1110,26.51188
1111,27.22889
1112,27.94589
1113,28.66289
1114,29.37989
1115,30.09689
1116,30.8139
1117,31.5309
1118,32.2479
1119,32.9649
1120,34.33719
1121,35.70947
1122,37.08176
1123,38.45405
1124,39.82633
1125,41.19862
1126,42.5709
1127,43.94319
1128,45.31547
1129,46.68776
1130,48.06004
1131,50.58145
1132,53.10285
1133,55.62425
1134,58.14566
1135,60.66706
1136,63.18847
1137,65.70987
1138,68.23127
1139,70.75268
1140,73.27408
1141,76.92982
1142,80.58556
1143,84.2413
1144,87.89703
1145,91.55277
1146,95.20851
1147,98.86425
1148,102.51999
1149,106.17572
1150,109.83146
1151,113.4872
1152,115.48523
1153,117.48327
1154,119.4813
1155,121.47933
1156,123.47737
1157,125.4754
1158,127.47344
1159,129.47147
1160,129.973
1161,130.47454
1162,130.97607
1163,131.4776
1164,131.97913
1165,132.48067
1166,132.9822
1167,133.48373
1168,133.98527
1169,134.4868
1170,134.80464
1171,135.12247
1172,135.44031
1173,135.75815
1174,136.07599
1175,136.39382
1176,136.71166
1177,137.0295
1178,137.34734
1179,137.66517
1180,137.98301
1181,138.09268
1182,138.20235
1183,138.31202
1184,138.42169
1185,138.53136
1186,138.64102
1187,138.75069
1188,138.86036
1189,138.97003
1190,139.0797
1191,139.18937
1192,139.33598
1193,139.48258
1194,139.62919
1195,139.7758
1196,139.9224
1197,140.06901
1198,140.21561
1199,140.36222
1200,140.16954
1201,139.97686
1202,139.78417
1203,139.59149
1204,139.39881
1205,139.20612
1206,139.01344
1207,138.82076
1208,138.62808
1209,138.4354
1210,138.24271
1211,138.05003
1212,137.7638
1213,137.47757
1214,137.19134
1215,136.9051
1216,136.61887
1217,136.33264
1218,136.04641
1219,135.76018
1220,135.4525
1221,135.14481
1222,134.83713
1223,134.52945
1224,134.22177
1225,133.91408
1226,133.6064
1227,133.29872
1228,132.99104
1229,132.68335
1230,132.37567
1231,132.00458
1232,131.63349
1233,131.26239
1234,130.8913
1235,130.52021
1236,130.14912
1237,129.77802
1238,129.40693
1239,129.03584
1240,128.53421
1241,128.03257
1242,127.53094
1243,127.0293
1244,126.52767
1245,126.02603
1246,125.5244
1247,125.02276
1248,124.52113
1249,124.01949
1250,123.51786
1251,123.16042
1252,122.80298
1253,122.44554
1254,122.0881
1255,121.73066
1256,121.37322
1257,121.01578
1258,120.65834
1259,120.3009
1260,120.30742
1261,120.31393
1262,120.32045
1263,120.32696
1264,120.33348
1265,120.33999
1266,120.34651
1267,120.35303
1268,120.35954
1269,120.36606
1270,120.37257
1271,120.37909
1272,120.95714
1273,121.53519
1274,122.11323
1275,122.69128
1276,123.26933
1277,123.84738
1278,124.42542
1279,125.00347
1280,125.64947
1281,126.29547
1282,126.94146
1283,127.58746
1284,128.23346
1285,128.87946
1286,129.52546
1287,130.17146
1288,130.81746
1289,131.46345
1290,132.10945
1291,132.75545
1292,134.8008
1293,136.84615
1294,138.8915
1295,140.93685
1296,142.98221
1297,145.02756
1298,147.07291
1299,149.11826
1300,151.16361
1301,153.8953
1302,156.62698
1303,159.35867
1304,162.09035
1305,164.82204
1306,167.55372
1307,170.28541
1308,173.01709
1309,175.74878
1310,178.03305
1311,180.31731
1312,182.60158
1313,184.88584
1314,187.17011
1315,189.45437
1316,191.73863
1317,194.0229
1318,196.30717
1319,198.59143
1320,200.87569
1321,203.15996
1322,206.98258
1323,210.8052
1324,214.62783
1325,218.45045
1326,222.27307
1327,226.09569
1328,229.91832
1329,233.74094
1330,237.56356
1331,243.65121
1332,249.73886
1333,255.82651
1334,261.91416
1335,268.00181
1336,274.08946
1337,280.17711
1338,286.26476
1339,292.35241
1340,298.44006
1341,312.0687
1342,325.69734
1343,339.32598
1344,352.95462
1345,366.58327
1346,380.21191
1347,393.84055
1348,407.46919
1349,421.09783
1350,424.72436
1351,428.35088
1352,431.97741
1353,435.60394
1354,439.23046
1355,442.85699
1356,446.48352
1357,450.11004
1358,453.73657
1359,457.3631
1360,460.98962
1361,464.61615
1362,477.57782
1363,490.53949
1364,503.50115
1365,516.46282
1366,529.42449
1367,542.38616
1368,555.34783
1369,568.30949
1370,581.27116
1371,594.23283
1372,616.3817
1373,638.53057
1374,660.67944
1375,682.82831
1376,704.97717
1377,727.12604
1378,749.27491
1379,771.42378
1380,793.57265
1381,821.25749
1382,848.94234
1383,876.62718
1384,904.31203
1385,931.99688
1386,959.68172
1387,987.36657
1388,1015.05141
1389,1042.73626
1390,1070.4211
1391,1116.7766
1392,1163.1321
1393,1209.4876
1394,1255.8431
1395,1302.1986
1396,1348.5541
1397,1394.9096
1398,1441.2651
1399,1487.6206
1400,1533.9761
1401,1644.68321
1402,1755.39032
1403,1866.09743
1404,1976.80454
1405,2087.51166
1406,2198.21877
1407,2308.92588
1408,2419.63299
1409,2530.3401
1410,2593.55113
1411,2656.76216
1412,2719.97319
1413,2783.18422
1414,2846.39525
1415,2909.60628
1416,2972.81731
1417,3036.02834
1418,3099.23937
1419,3162.4504
1420,3193.73757
1421,3225.02474
1422,3256.31191
1423,3287.59908
1424,3318.88625
1425,3350.17342
1426,3381.46059
1427,3412.74776
1428,3444.03493
1429,3475.3221
1430,3481.77836
1431,3488.23462
1432,3494.69088
1433,3501.14714
1434,3507.6034
1435,3514.05966
1436,3520.51592
1437,3526.97218
1438,3533.42844
1439,3539.8847
1440,3538.22037
1441,3536.55604
1442,3534.89171
1443,3533.22738
1444,3531.56305
1445,3529.89872
1446,3528.23439
1447,3526.57006
1448,3524.90573
1449,3523.2414
1450,3517.64523
1451,3512.04906
1452,3506.45289
1453,3500.85672
1454,3495.26055
1455,3489.66438
1456,3484.06821
1457,3478.47204
1458,3472.87587
1459,3467.2797
1460,3444.19131
1461,3421.10292
1462,3398.01453
1463,3374.92614
1464,3351.83775
1465,3328.74936
1466,3305.66097
1467,3282.57258
1468,3259.48419
1469,3236.3958
1470,3199.18853
1471,3161.98126
1472,3124.77399
1473,3087.56672
1474,3050.35945
1475,3013.15218
1476,2975.94491
1477,2938.73764
1478,2901.53037
1479,2864.3231
1480,2828.55676
1481,2792.79042
1482,2757.02408
1483,2721.25774
1484,2685.4914
1485,2649.72506
1486,2613.95872
1487,2578.19238
1488,2542.42604
1489,2506.6597
1490,2470.0221
1491,2433.3845
1492,2396.7469
1493,2360.1093
1494,2323.4717
1495,2286.8341
1496,2250.1965
1497,2213.5589
1498,2176.9213
1499,2140.2837
1500,2103.6461
1501,2075.29664
1502,2046.94718
1503,2018.59772
1504,1990.24826
1505,1961.8988
1506,1933.54934
1507,1905.19988
1508,1876.85042
1509,1848.50096
1510,1820.1515
1511,1800.74616
1512,1781.34083
1513,1761.93549
1514,1742.53015
1515,1723.12482
1516,1703.71948
1517,1684.31415
1518,1664.90881
1519,1645.50347
1520,1626.09814
1521,1606.6928
1522,1592.89785
1523,1579.1029
1524,1565.30795
1525,1551.513
1526,1537.71805
1527,1523.9231
1528,1510.12815
1529,1496.3332
1530,1482.53825
1531,1468.7433
1532,1454.46601
1533,1440.18872
1534,1425.91143
1535,1411.63414
1536,1397.35685
1537,1383.07955
1538,1368.80226
1539,1354.52497
1540,1340.24768
1541,1325.97039
1542,1311.6931
1543,1298.81569
1544,1285.93827
1545,1273.06086
1546,1260.18344
1547,1247.30603
1548,1234.42861
1549,1221.5512
1550,1211.93078
1551,1202.31037
1552,1192.68995
1553,1183.06953
1554,1173.44912
1555,1163.8287
1556,1154.20829
1557,1144.58787
1558,1134.96745
1559,1125.34704
1560,1115.72662
1561,1106.07574
1562,1096.42486
1563,1086.77398
1564,1077.1231
1565,1067.47222
1566,1057.82134
1567,1048.17046
1568,1038.51958
1569,1028.8687
1570,1019.21782
1571,1013.00425
1572,1006.79069
1573,1000.57712
1574,994.36355
1575,988.14999
1576,981.93642
1577,975.72286
1578,969.50929
1579,963.29572
1580,957.08216
1581,950.86859
1582,941.76783
1583,932.66708
1584,923.56632
1585,914.46556
1586,905.3648
1587,896.26405
1588,887.16329
1589,878.06253
1590,872.7842
1591,867.50586
1592,862.22753
1593,856.9492
1594,851.67087
1595,846.39253
1596,841.1142
1597,835.83587
1598,830.55754
1599,825.2792
1600,820.00087
1601,815.19066
1602,810.38045
1603,805.57025
1604,800.76004
1605,795.94983
1606,791.13962
1607,786.32941
1608,781.5192
1609,776.709
1610,771.89879
1611,767.08858
1612,762.72923
1613,758.36989
1614,754.01054
1615,749.65119
1616,745.29185
1617,740.9325
1618,736.57316
1619,732.21381
1620,727.85446
1621,723.49512
1622,719.13577
1623,716.06083
1624,712.98589
1625,709.91095
1626,706.836
1627,703.76106
1628,700.68612
1629,697.61118
1630,695.81002
1631,694.00886
1632,692.20769
1633,690.40653
1634,688.60537
1635,686.8042
1636,685.00304
1637,683.20188
1638,681.40072
1639,679.59956
1640,677.79839
1641,675.99723
1642,671.79093
1643,667.58462
1644,663.37832
1645,659.17202
1646,654.96572
1647,650.75941
1648,646.55311
1649,644.80407
1650,643.05504
1651,641.306
1652,639.55697
1653,637.80793
1654,636.05889
1655,634.30986
1656,632.56082
1657,630.81179
1658,629.06275
1659,627.31372
1660,625.56468
1661,625.23567
1662,624.90667
1663,624.57766
1664,624.24865
1665,623.91964
1666,623.59064
1667,623.26163
1668,622.93262
1669,622.60361
1670,622.27461
1671,621.9456
1672,622.52644
1673,623.10728
1674,623.68812
1675,624.26896
1676,624.8498
1677,625.43064
1678,626.01148
1679,626.59232
1680,627.02186
1681,627.45139
1682,627.88093
1683,628.31047
1684,628.74001
1685,629.16954
1686,629.59908
1687,630.02862
1688,630.45816
1689,630.88769
1690,631.31723
1691,632.41189
1692,633.50655
1693,634.60121
1694,635.69587
1695,636.79053
1696,637.88519
1697,638.97985
1698,640.07451
1699,641.80027
1700,643.52604
1701,645.2518
1702,646.97757
1703,648.70334
1704,650.4291
1705,652.15486
1706,653.88063
1707,655.6064
1708,657.33216
1709,659.05793
1710,660.78369
1711,662.84549
1712,664.90728
1713,666.96908
1714,669.03087
1715,671.09267
1716,673.15447
1717,675.21626
1718,677.27806
1719,679.33985
1720,681.40165
1721,683.46344
1722,685.52524
1723,690.09936
1724,694.67347
1725,699.24759
1726,703.8217
1727,708.39581
1728,712.96993
1729,717.54404
1730,722.11816
1731,725.79961
1732,729.48105
1733,733.1625
1734,736.84394
1735,740.52539
1736,744.20683
1737,747.88828
1738,751.56973
